ClaimID,LossDate,ReportDate,State,City,Status,ClaimAmount,FraudScore,Adjuster,PolicyType
C10006902,2-Apr-25,5-Apr-25,NY,New York,Closed,2058,0.230000004,AJ20,Auto
C10006941,16-Feb-25,18-Feb-25,NY,New York,Closed,10811,0.889999986,AJ20,Auto
C10006961,29-Apr-25,1-May-25,NY,New York,Closed,5543,0.99000001,AJ20,Auto
C10007328,11-May-25,14-May-25,NY,New York,Closed,6665,0.039999999,AJ20,Auto
C10008599,14-Mar-25,16-Mar-25,NY,New York,Closed,7056,0.689999998,AJ20,Auto
C10009052,3-Jun-25,4-Jun-25,NY,New York,Closed,3904,0.289999992,AJ20,Auto
C10009211,27-May-25,27-May-25,NY,New York,Closed,9204,0.769999981,AJ20,Auto
C10009393,20-May-25,23-May-25,NY,New York,Closed,9855,0.310000002,AJ20,Auto
C10009500,3-Mar-25,6-Mar-25,NY,New York,Closed,10896,0.349999994,AJ20,Auto
C10010033,7-Jan-25,8-Jan-25,NY,New York,Closed,9082,0.5,AJ20,Auto
C10010083,19-Apr-25,19-Apr-25,NY,New York,Closed,9006,0.779999971,AJ20,Auto
C10010300,25-May-25,28-May-25,NY,New York,Closed,5704,0.219999999,AJ20,Auto
C10010485,1-Apr-25,2-Apr-25,NY,New York,Closed,5790,0.409999996,AJ20,Auto
C10010626,19-Jan-25,20-Jan-25,NY,New York,Closed,5785,0.889999986,AJ20,Auto
C10010866,11-Apr-25,12-Apr-25,NY,New York,Closed,8026,0.639999986,AJ20,Auto
C10011058,28-Jun-25,29-Jun-25,NY,New York,Closed,9789,0.419999987,AJ20,Auto
C10011260,26-Feb-25,26-Feb-25,NY,New York,Closed,2898,0.920000017,AJ20,Auto
C10011530,6-Jun-25,7-Jun-25,NY,New York,Closed,3110,0.970000029,AJ20,Auto
C10011531,12-Jan-25,14-Jan-25,NY,New York,Closed,11906,0.219999999,AJ20,Auto
C10011756,27-Jan-25,29-Jan-25,NY,New York,Closed,10550,0.589999974,AJ20,Auto
C10011922,10-Jun-25,10-Jun-25,NY,New York,Closed,5323,0.980000019,AJ20,Auto
C10012001,1-Apr-25,4-Apr-25,NY,New York,Closed,3736,0.680000007,AJ20,Auto
C10012274,29-Apr-25,29-Apr-25,NY,New York,Closed,8259,0.99000001,AJ20,Auto
C10012426,11-Jan-25,11-Jan-25,NY,New York,Closed,3614,0.200000003,AJ20,Auto
C10012462,6-Jun-25,9-Jun-25,NY,New York,Closed,2242,0.819999993,AJ20,Auto
C10012566,5-Mar-25,5-Mar-25,NY,New York,Closed,5743,0.949999988,AJ20,Auto
C10012877,24-Jan-25,27-Jan-25,NY,New York,Closed,7905,0.319999993,AJ20,Auto
C10013042,11-Jan-25,12-Jan-25,NY,New York,Closed,6652,0.899999976,AJ20,Auto
C10013082,13-Apr-25,15-Apr-25,NY,New York,Closed,5866,0.639999986,AJ20,Auto
C10014236,17-Apr-25,17-Apr-25,NY,New York,Closed,11812,0.219999999,AJ20,Auto
C10014627,17-Jun-25,20-Jun-25,NY,New York,Closed,11307,0.519999981,AJ20,Auto
C10014985,2-Feb-25,4-Feb-25,NY,New York,Closed,3351,0.550000012,AJ20,Auto
C10015088,18-Jun-25,19-Jun-25,NY,New York,Closed,7635,0.340000004,AJ20,Auto
C10015148,21-Jun-25,24-Jun-25,NY,New York,Closed,4472,0.219999999,AJ20,Auto
C10015213,22-Feb-25,25-Feb-25,NY,New York,Closed,10918,0.74000001,AJ20,Auto
C10015372,14-Mar-25,15-Mar-25,NY,New York,Closed,2207,0.07,AJ20,Auto
C10015577,29-Jan-25,1-Feb-25,NY,New York,Closed,4454,0.449999988,AJ20,Auto
C10015738,9-Mar-25,11-Mar-25,NY,New York,Closed,10060,0.25,AJ20,Auto
C10015868,17-Feb-25,20-Feb-25,NY,New York,Closed,10547,0.74000001,AJ20,Auto
C10016045,19-Feb-25,19-Feb-25,NY,New York,Closed,9491,0.970000029,AJ20,Auto
C10016224,22-Jan-25,24-Jan-25,NY,New York,Closed,2477,0.319999993,AJ20,Auto
C10016344,3-Mar-25,4-Mar-25,NY,New York,Closed,3474,0.059999999,AJ20,Auto
C10016610,25-Apr-25,26-Apr-25,NY,New York,Closed,3684,0.409999996,AJ20,Auto
C10016897,22-Mar-25,23-Mar-25,NY,New York,Closed,2729,0.620000005,AJ20,Auto
C10017028,23-Mar-25,24-Mar-25,NY,New York,Closed,4892,0.870000005,AJ20,Auto
C10017032,19-Mar-25,20-Mar-25,NY,New York,Closed,3711,0.569999993,AJ20,Auto
C10017370,1-Apr-25,4-Apr-25,NY,New York,Closed,3123,0.469999999,AJ20,Auto
C10017662,13-Jun-25,15-Jun-25,NY,New York,Closed,5843,0.819999993,AJ20,Auto
C10017934,4-Jun-25,5-Jun-25,NY,New York,Closed,7505,0.699999988,AJ20,Auto
C10018044,1-Jan-25,3-Jan-25,NY,New York,Closed,4772,0.49000001,AJ20,Auto
C10018061,14-May-25,14-May-25,NY,New York,Closed,10850,0.379999995,AJ20,Auto
C10018097,20-May-25,21-May-25,NY,New York,Closed,5682,0.779999971,AJ20,Auto
C10018901,4-Jan-25,6-Jan-25,NY,New York,Closed,11709,0.050000001,AJ20,Auto
C10019170,21-May-25,21-May-25,NY,New York,Closed,8613,1,AJ20,Auto
C10019575,2-Feb-25,3-Feb-25,NY,New York,Closed,10364,0.150000006,AJ20,Auto
C10019688,17-Jun-25,19-Jun-25,NY,New York,Closed,3565,0.150000006,AJ20,Auto
C10000468,3-Mar-25,5-Mar-25,NY,New York,Closed,7520,0.930000007,AJ17,Auto
C10000488,24-Apr-25,25-Apr-25,NY,New York,Closed,2200,0.850000024,AJ17,Auto
C10000655,17-Mar-25,18-Mar-25,NY,New York,Closed,5438,0.939999998,AJ17,Auto
C10000686,24-May-25,27-May-25,NY,New York,Closed,5092,0.910000026,AJ17,Auto
C10001120,6-May-25,9-May-25,NY,New York,Closed,11995,0.300000012,AJ17,Auto
C10001795,13-Feb-25,15-Feb-25,NY,New York,Closed,3352,0.689999998,AJ17,Auto
C10002649,22-Apr-25,25-Apr-25,NY,New York,Closed,10777,0.649999976,AJ17,Auto
C10002749,26-Jan-25,29-Jan-25,NY,New York,Closed,6684,0.209999993,AJ17,Auto
C10003236,18-Jan-25,18-Jan-25,NY,New York,Closed,9066,0.819999993,AJ17,Auto
C10003365,4-Feb-25,4-Feb-25,NY,New York,Closed,5868,0.319999993,AJ17,Auto
C10003911,31-Jan-25,31-Jan-25,NY,New York,Closed,7000,0.50999999,AJ17,Auto
C10004130,16-Apr-25,19-Apr-25,NY,New York,Closed,7953,0.620000005,AJ17,Auto
C10004160,21-Jun-25,24-Jun-25,NY,New York,Closed,9379,0.059999999,AJ17,Auto
C10005033,15-Mar-25,18-Mar-25,NY,New York,Closed,5445,0.769999981,AJ17,Auto
C10005507,20-Mar-25,21-Mar-25,NY,New York,Closed,6730,0.479999989,AJ17,Auto
C10005585,8-Jan-25,10-Jan-25,NY,New York,Closed,3753,0.629999995,AJ17,Auto
C10006022,20-Feb-25,23-Feb-25,NY,New York,Closed,3591,0.239999995,AJ17,Auto
C10006116,15-Feb-25,18-Feb-25,NY,New York,Closed,7478,0.74000001,AJ17,Auto
C10006310,26-Feb-25,28-Feb-25,NY,New York,Closed,1986,0.610000014,AJ17,Auto
C10006464,8-Mar-25,8-Mar-25,NY,New York,Closed,8478,0.039999999,AJ17,Auto
C10006497,3-Apr-25,3-Apr-25,NY,New York,Closed,10260,0.970000029,AJ17,Auto
C10006797,18-Mar-25,19-Mar-25,NY,New York,Closed,8912,0.610000014,AJ17,Auto
C10007097,25-Feb-25,28-Feb-25,NY,New York,Closed,6843,0.75999999,AJ17,Auto
C10007335,26-Apr-25,29-Apr-25,NY,New York,Closed,5945,0.100000001,AJ17,Auto
C10007560,12-Mar-25,12-Mar-25,NY,New York,Closed,5439,0.479999989,AJ17,Auto
C10007590,17-May-25,17-May-25,NY,New York,Closed,6029,0.25999999,AJ17,Auto
C10007670,3-Jan-25,3-Jan-25,NY,New York,Closed,1914,0.330000013,AJ17,Auto
C10008319,8-Mar-25,10-Mar-25,NY,New York,Closed,11205,0.029999999,AJ17,Auto
C10008824,17-May-25,19-May-25,NY,New York,Closed,8492,0.829999983,AJ17,Auto
C10008858,27-Feb-25,28-Feb-25,NY,New York,Closed,6905,0.469999999,AJ17,Auto
C10009016,13-Feb-25,13-Feb-25,NY,New York,Closed,9020,0.159999996,AJ17,Auto
C10009720,10-Jun-25,13-Jun-25,NY,New York,Closed,4600,0.409999996,AJ17,Auto
C10009923,25-Jan-25,25-Jan-25,NY,New York,Closed,6630,1,AJ17,Auto
C10010020,5-Mar-25,6-Mar-25,NY,New York,Closed,11376,0.319999993,AJ17,Auto
C10010108,22-Feb-25,25-Feb-25,NY,New York,Closed,10440,0.600000024,AJ17,Auto
C10010454,1-Jun-25,1-Jun-25,NY,New York,Closed,9830,0.75999999,AJ17,Auto
C10010495,11-Apr-25,12-Apr-25,NY,New York,Closed,8479,0.579999983,AJ17,Auto
C10010654,25-Apr-25,26-Apr-25,NY,New York,Closed,10609,0.779999971,AJ17,Auto
C10010728,21-Mar-25,21-Mar-25,NY,New York,Closed,10255,0.090000004,AJ17,Auto
C10010857,11-Jun-25,14-Jun-25,NY,New York,Closed,8194,0.790000021,AJ17,Auto
C10011086,19-Feb-25,21-Feb-25,NY,New York,Closed,7828,0.25,AJ17,Auto
C10011145,15-Mar-25,18-Mar-25,NY,New York,Closed,8958,0.109999999,AJ17,Auto
C10011149,17-Mar-25,18-Mar-25,NY,New York,Closed,4889,0.119999997,AJ17,Auto
C10011272,30-Mar-25,31-Mar-25,NY,New York,Closed,6133,0.779999971,AJ17,Auto
C10011314,28-May-25,31-May-25,NY,New York,Closed,2066,0.479999989,AJ17,Auto
C10011344,31-Jan-25,31-Jan-25,NY,New York,Closed,3773,0.899999976,AJ17,Auto
C10012267,16-Jan-25,17-Jan-25,NY,New York,Closed,1614,0.939999998,AJ17,Auto
C10012319,23-Jan-25,25-Jan-25,NY,New York,Closed,5262,0.129999995,AJ17,Auto
C10012483,30-Mar-25,30-Mar-25,NY,New York,Closed,8864,0.949999988,AJ17,Auto
C10013098,4-Feb-25,5-Feb-25,NY,New York,Closed,11658,0.980000019,AJ17,Auto
C10013100,14-May-25,14-May-25,NY,New York,Closed,11109,0.589999974,AJ17,Auto
C10013194,4-Mar-25,4-Mar-25,NY,New York,Closed,6571,0.790000021,AJ17,Auto
C10013246,10-May-25,10-May-25,NY,New York,Closed,7338,0.870000005,AJ17,Auto
C10014112,25-Mar-25,27-Mar-25,NY,New York,Closed,6090,0.469999999,AJ17,Auto
C10014323,21-Feb-25,23-Feb-25,NY,New York,Closed,11785,0.899999976,AJ17,Auto
C10014512,27-Feb-25,2-Mar-25,NY,New York,Closed,8644,0.379999995,AJ17,Auto
C10014730,14-Jun-25,16-Jun-25,NY,New York,Closed,1956,0.430000007,AJ17,Auto
C10015076,17-Mar-25,20-Mar-25,NY,New York,Closed,1688,0.699999988,AJ17,Auto
C10015363,1-Apr-25,2-Apr-25,NY,New York,Closed,8533,0.670000017,AJ17,Auto
C10015436,17-Feb-25,20-Feb-25,NY,New York,Closed,3724,0.140000001,AJ17,Auto
C10015620,26-Apr-25,28-Apr-25,NY,New York,Closed,1651,0.419999987,AJ17,Auto
C10015730,21-Feb-25,22-Feb-25,NY,New York,Closed,3455,0.699999988,AJ17,Auto
C10015742,9-May-25,12-May-25,NY,New York,Closed,5664,0.74000001,AJ17,Auto
C10015898,3-Jun-25,6-Jun-25,NY,New York,Closed,2994,0.469999999,AJ17,Auto
C10016060,18-Apr-25,18-Apr-25,NY,New York,Closed,11633,0.899999976,AJ17,Auto
C10016534,19-May-25,19-May-25,NY,New York,Closed,5807,0.419999987,AJ17,Auto
C10016565,2-May-25,3-May-25,NY,New York,Closed,7225,0.090000004,AJ17,Auto
C10016702,12-Jan-25,14-Jan-25,NY,New York,Closed,7278,0.340000004,AJ17,Auto
C10017210,29-Mar-25,29-Mar-25,NY,New York,Closed,10055,0.02,AJ17,Auto
C10017521,13-May-25,15-May-25,NY,New York,Closed,9967,0.939999998,AJ17,Auto
C10017678,24-Apr-25,25-Apr-25,NY,New York,Closed,2330,0.319999993,AJ17,Auto
C10018120,18-Jan-25,18-Jan-25,NY,New York,Closed,9581,0.810000002,AJ17,Auto
C10018174,10-Jun-25,13-Jun-25,NY,New York,Closed,2660,0.449999988,AJ17,Auto
C10018301,1-Apr-25,2-Apr-25,NY,New York,Closed,4481,0.239999995,AJ17,Auto
C10018521,8-Mar-25,10-Mar-25,NY,New York,Closed,10562,0.870000005,AJ17,Auto
C10018766,7-Apr-25,10-Apr-25,NY,New York,Closed,10821,0.550000012,AJ17,Auto
C10019075,31-May-25,2-Jun-25,NY,New York,Closed,6499,0.610000014,AJ17,Auto
C10019086,18-Jun-25,19-Jun-25,NY,New York,Closed,4771,0.939999998,AJ17,Auto
C10019161,21-Jan-25,21-Jan-25,NY,New York,Closed,5180,0.680000007,AJ17,Auto
C10019169,30-Jun-25,2-Jul-25,NY,New York,Closed,7179,0.529999971,AJ17,Auto
C10019434,23-Feb-25,25-Feb-25,NY,New York,Closed,6369,0.720000029,AJ17,Auto
C10019593,18-Apr-25,20-Apr-25,NY,New York,Closed,4727,0.550000012,AJ17,Auto
C10019698,3-Jun-25,4-Jun-25,NY,New York,Closed,5560,1,AJ17,Auto
C10000124,21-Jan-25,24-Jan-25,NY,New York,Closed,3091,0.699999988,AJ18,Auto
C10000159,18-May-25,19-May-25,NY,New York,Closed,4222,0.930000007,AJ18,Auto
C10000618,3-Jan-25,5-Jan-25,NY,New York,Closed,3923,0.209999993,AJ18,Auto
C10001817,9-Jun-25,9-Jun-25,NY,New York,Closed,11070,0.129999995,AJ18,Auto
C10002161,1-Mar-25,2-Mar-25,NY,New York,Closed,4521,0.360000014,AJ18,Auto
C10002283,11-Apr-25,11-Apr-25,NY,New York,Closed,7283,0.620000005,AJ18,Auto
C10002403,24-May-25,24-May-25,NY,New York,Closed,4399,0.280000001,AJ18,Auto
C10002567,7-May-25,7-May-25,NY,New York,Closed,8672,0.879999995,AJ18,Auto
C10002893,13-Jan-25,13-Jan-25,NY,New York,Closed,7832,0.02,AJ18,Auto
C10003041,10-Feb-25,12-Feb-25,NY,New York,Closed,9550,0.850000024,AJ18,Auto
C10003371,4-May-25,5-May-25,NY,New York,Closed,2033,0.370000005,AJ18,Auto
C10003430,25-May-25,27-May-25,NY,New York,Closed,6712,0.409999996,AJ18,Auto
C10003714,6-May-25,6-May-25,NY,New York,Closed,3465,0.569999993,AJ18,Auto
C10003959,15-May-25,15-May-25,NY,New York,Closed,9372,0.629999995,AJ18,Auto
C10004073,14-Feb-25,16-Feb-25,NY,New York,Closed,3919,0.769999981,AJ18,Auto
C10004202,20-Feb-25,23-Feb-25,NY,New York,Closed,3469,0.25999999,AJ18,Auto
C10004294,30-Jan-25,30-Jan-25,NY,New York,Closed,2808,0.810000002,AJ18,Auto
C10004510,8-Apr-25,9-Apr-25,NY,New York,Closed,9120,0.560000002,AJ18,Auto
C10004786,5-Jan-25,6-Jan-25,NY,New York,Closed,11312,0.600000024,AJ18,Auto
C10004839,18-Mar-25,20-Mar-25,NY,New York,Closed,1529,0.74000001,AJ18,Auto
C10004986,19-May-25,19-May-25,NY,New York,Closed,3941,0.709999979,AJ18,Auto
C10005214,4-Jun-25,6-Jun-25,NY,New York,Closed,11095,0.360000014,AJ18,Auto
C10005416,6-Jan-25,7-Jan-25,NY,New York,Closed,9262,0.870000005,AJ18,Auto
C10005846,6-Jun-25,7-Jun-25,NY,New York,Closed,2643,0.360000014,AJ18,Auto
C10005860,23-Jan-25,23-Jan-25,NY,New York,Closed,11104,0.75,AJ18,Auto
C10006064,19-Feb-25,22-Feb-25,NY,New York,Closed,7669,0.460000008,AJ18,Auto
C10006134,29-Jan-25,31-Jan-25,NY,New York,Closed,2145,0.560000002,AJ18,Auto
C10006246,19-Jan-25,20-Jan-25,NY,New York,Closed,4987,0.419999987,AJ18,Auto
C10006368,22-Jun-25,25-Jun-25,NY,New York,Closed,3342,0.100000001,AJ18,Auto
C10007016,8-Mar-25,9-Mar-25,NY,New York,Closed,6898,0.720000029,AJ18,Auto
C10007038,23-Jan-25,25-Jan-25,NY,New York,Closed,10808,0.400000006,AJ18,Auto
C10007458,25-Apr-25,27-Apr-25,NY,New York,Closed,8090,0.129999995,AJ18,Auto
C10007496,17-Apr-25,19-Apr-25,NY,New York,Closed,10436,0.150000006,AJ18,Auto
C10007621,19-Apr-25,20-Apr-25,NY,New York,Closed,2780,0.730000019,AJ18,Auto
C10007942,13-May-25,13-May-25,NY,New York,Closed,9831,0.090000004,AJ18,Auto
C10007959,18-Jun-25,21-Jun-25,NY,New York,Closed,8506,0.850000024,AJ18,Auto
C10008372,29-Apr-25,30-Apr-25,NY,New York,Closed,9029,0.790000021,AJ18,Auto
C10008633,15-Jan-25,16-Jan-25,NY,New York,Closed,1648,0.360000014,AJ18,Auto
C10008907,16-Jan-25,17-Jan-25,NY,New York,Closed,8571,0.769999981,AJ18,Auto
C10009144,22-May-25,22-May-25,NY,New York,Closed,4052,0.039999999,AJ18,Auto
C10009332,11-Feb-25,12-Feb-25,NY,New York,Closed,8393,0.270000011,AJ18,Auto
C10009423,20-Jan-25,21-Jan-25,NY,New York,Closed,10339,1,AJ18,Auto
C10009467,4-Jan-25,4-Jan-25,NY,New York,Closed,4509,0.610000014,AJ18,Auto
C10009479,14-Jan-25,14-Jan-25,NY,New York,Closed,5260,0.389999986,AJ18,Auto
C10010567,4-Apr-25,4-Apr-25,NY,New York,Closed,2517,0.930000007,AJ18,Auto
C10010665,31-Jan-25,2-Feb-25,NY,New York,Closed,5851,0.870000005,AJ18,Auto
C10011113,27-May-25,30-May-25,NY,New York,Closed,9205,0.939999998,AJ18,Auto
C10011607,25-May-25,27-May-25,NY,New York,Closed,6980,0.920000017,AJ18,Auto
C10011637,14-Mar-25,17-Mar-25,NY,New York,Closed,6520,0.119999997,AJ18,Auto
C10011686,9-Jan-25,11-Jan-25,NY,New York,Closed,6253,0.790000021,AJ18,Auto
C10011866,24-Jan-25,26-Jan-25,NY,New York,Closed,4511,0.839999974,AJ18,Auto
C10012102,29-Mar-25,30-Mar-25,NY,New York,Closed,2304,0.959999979,AJ18,Auto
C10012503,1-Jan-25,1-Jan-25,NY,New York,Closed,4819,0.330000013,AJ18,Auto
C10012695,27-Apr-25,30-Apr-25,NY,New York,Closed,8898,0.300000012,AJ18,Auto
C10012716,24-Jan-25,26-Jan-25,NY,New York,Closed,2939,0.209999993,AJ18,Auto
C10013451,6-Mar-25,8-Mar-25,NY,New York,Closed,6892,0.200000003,AJ18,Auto
C10014121,23-Jan-25,25-Jan-25,NY,New York,Closed,5476,0.460000008,AJ18,Auto
C10014169,9-Feb-25,9-Feb-25,NY,New York,Closed,11776,0.889999986,AJ18,Auto
C10014320,26-Feb-25,28-Feb-25,NY,New York,Closed,6217,0.839999974,AJ18,Auto
C10014377,23-May-25,23-May-25,NY,New York,Closed,8674,0.239999995,AJ18,Auto
C10014775,7-Feb-25,8-Feb-25,NY,New York,Closed,3992,0.310000002,AJ18,Auto
C10014917,6-Jan-25,8-Jan-25,NY,New York,Closed,7377,0.419999987,AJ18,Auto
C10015223,29-Jan-25,31-Jan-25,NY,New York,Closed,7759,0.529999971,AJ18,Auto
C10015374,12-Jan-25,14-Jan-25,NY,New York,Closed,4831,0.50999999,AJ18,Auto
C10015643,7-Feb-25,7-Feb-25,NY,New York,Closed,10815,0.379999995,AJ18,Auto
C10015813,31-Jan-25,31-Jan-25,NY,New York,Closed,11525,0.850000024,AJ18,Auto
C10016530,2-Feb-25,2-Feb-25,NY,New York,Closed,8605,0.660000026,AJ18,Auto
C10016662,15-Apr-25,18-Apr-25,NY,New York,Closed,7782,0.639999986,AJ18,Auto
C10016750,28-May-25,29-May-25,NY,New York,Closed,5341,0.920000017,AJ18,Auto
C10016937,1-Mar-25,4-Mar-25,NY,New York,Closed,11827,0.360000014,AJ18,Auto
C10017528,2-Mar-25,5-Mar-25,NY,New York,Closed,6733,0.709999979,AJ18,Auto
C10017793,6-Mar-25,6-Mar-25,NY,New York,Closed,8759,0.200000003,AJ18,Auto
C10018210,26-Apr-25,26-Apr-25,NY,New York,Closed,5528,0.349999994,AJ18,Auto
C10018372,10-Jan-25,12-Jan-25,NY,New York,Closed,11006,0.670000017,AJ18,Auto
C10018442,3-Jan-25,5-Jan-25,NY,New York,Closed,8268,0.649999976,AJ18,Auto
C10018591,10-May-25,13-May-25,NY,New York,Closed,3288,0.219999999,AJ18,Auto
C10018773,16-Jan-25,18-Jan-25,NY,New York,Closed,6757,0.039999999,AJ18,Auto
C10019158,23-Feb-25,23-Feb-25,NY,New York,Closed,2929,0.239999995,AJ18,Auto
C10019748,18-Mar-25,18-Mar-25,NY,New York,Closed,4837,0.319999993,AJ18,Auto
C10019788,8-Mar-25,9-Mar-25,NY,New York,Closed,10443,0.5,AJ18,Auto
C10000179,23-Feb-25,24-Feb-25,NY,New York,Closed,3087,0.319999993,AJ11,Auto
C10000566,11-Mar-25,13-Mar-25,NY,New York,Closed,1595,0,AJ11,Auto
C10000659,15-Apr-25,16-Apr-25,NY,New York,Closed,4315,0.389999986,AJ11,Auto
C10001096,30-Apr-25,30-Apr-25,NY,New York,Closed,10421,0.079999998,AJ11,Auto
C10001204,17-Jan-25,19-Jan-25,NY,New York,Closed,5348,0.300000012,AJ11,Auto
C10001378,5-Apr-25,6-Apr-25,NY,New York,Closed,8173,0.469999999,AJ11,Auto
C10001456,18-Feb-25,20-Feb-25,NY,New York,Closed,6579,0.239999995,AJ11,Auto
C10002057,26-May-25,27-May-25,NY,New York,Closed,3580,0.930000007,AJ11,Auto
C10002601,23-May-25,25-May-25,NY,New York,Closed,11578,0.720000029,AJ11,Auto
C10003114,10-Jan-25,11-Jan-25,NY,New York,Closed,2903,0.349999994,AJ11,Auto
C10003125,5-May-25,8-May-25,NY,New York,Closed,7586,0.709999979,AJ11,Auto
C10003920,23-Feb-25,24-Feb-25,NY,New York,Closed,7744,0.569999993,AJ11,Auto
C10004078,13-Jun-25,13-Jun-25,NY,New York,Closed,1540,0.899999976,AJ11,Auto
C10004154,28-Jan-25,28-Jan-25,NY,New York,Closed,7183,0.119999997,AJ11,Auto
C10004578,19-Jun-25,22-Jun-25,NY,New York,Closed,2929,0.209999993,AJ11,Auto
C10004620,16-Jun-25,19-Jun-25,NY,New York,Closed,7600,0.620000005,AJ11,Auto
C10004815,25-Jan-25,25-Jan-25,NY,New York,Closed,10184,0.170000002,AJ11,Auto
C10005077,16-Jun-25,19-Jun-25,NY,New York,Closed,3533,0.239999995,AJ11,Auto
C10005257,3-Mar-25,6-Mar-25,NY,New York,Closed,6961,0.270000011,AJ11,Auto
C10005704,18-Jun-25,18-Jun-25,NY,New York,Closed,5794,0.270000011,AJ11,Auto
C10006202,29-May-25,31-May-25,NY,New York,Closed,6191,0.75,AJ11,Auto
C10006588,20-Apr-25,20-Apr-25,NY,New York,Closed,8583,0.280000001,AJ11,Auto
C10007044,13-Feb-25,15-Feb-25,NY,New York,Closed,11968,0.75999999,AJ11,Auto
C10007313,18-Apr-25,18-Apr-25,NY,New York,Closed,11773,0.239999995,AJ11,Auto
C10007372,19-Feb-25,19-Feb-25,NY,New York,Closed,3992,0.819999993,AJ11,Auto
C10007492,1-May-25,1-May-25,NY,New York,Closed,3642,0.639999986,AJ11,Auto
C10007608,26-May-25,26-May-25,NY,New York,Closed,3212,0.910000026,AJ11,Auto
C10007722,22-May-25,24-May-25,NY,New York,Closed,5050,0.01,AJ11,Auto
C10007888,13-Feb-25,15-Feb-25,NY,New York,Closed,8625,0.360000014,AJ11,Auto
C10008374,8-May-25,9-May-25,NY,New York,Closed,2085,0.140000001,AJ11,Auto
C10008383,2-Feb-25,3-Feb-25,NY,New York,Closed,4571,0.660000026,AJ11,Auto
C10008884,14-Jan-25,17-Jan-25,NY,New York,Closed,5194,0.959999979,AJ11,Auto
C10008975,24-May-25,27-May-25,NY,New York,Closed,8249,0.239999995,AJ11,Auto
C10009045,20-Jun-25,23-Jun-25,NY,New York,Closed,8864,1,AJ11,Auto
C10009661,10-Feb-25,13-Feb-25,NY,New York,Closed,8558,0.310000002,AJ11,Auto
C10010041,4-Jun-25,7-Jun-25,NY,New York,Closed,8156,0.709999979,AJ11,Auto
C10010084,2-Jan-25,2-Jan-25,NY,New York,Closed,4264,0.319999993,AJ11,Auto
C10010141,20-Jun-25,23-Jun-25,NY,New York,Closed,5973,0.50999999,AJ11,Auto
C10010164,22-Mar-25,22-Mar-25,NY,New York,Closed,1543,0.889999986,AJ11,Auto
C10010206,5-Apr-25,6-Apr-25,NY,New York,Closed,11786,0.140000001,AJ11,Auto
C10010243,14-Feb-25,16-Feb-25,NY,New York,Closed,1951,0.280000001,AJ11,Auto
C10010702,27-Apr-25,29-Apr-25,NY,New York,Closed,8515,0.119999997,AJ11,Auto
