VehicleID,ClaimID,VehicleType,DamageSeverity,PartsCost,LaborHours,LaborCost,RepairDays,TotalLoss
V10007007,C10007007,Truck,Low,4619,27,2970,25,FALSE
V10007130,C10007130,Truck,Low,4953,25,1775,25,FALSE
V10007149,C10007149,Truck,Low,5175,5,310,25,FALSE
V10007218,C10007218,Truck,Low,5005,39,2496,25,FALSE
V10007339,C10007339,Truck,Low,4110,13,1274,25,FALSE
V10007842,C10007842,Truck,Low,1859,11,748,25,FALSE
V10008076,C10008076,Truck,Low,737,34,3570,25,FALSE
V10008273,C10008273,Truck,Low,1139,16,1472,25,FALSE
V10008432,C10008432,Truck,Low,2780,27,2916,25,FALSE
V10008497,C10008497,Truck,Low,4984,24,2160,25,FALSE
V10008531,C10008531,Truck,Low,2591,16,1856,25,FALSE
V10008878,C10008878,Truck,Low,2252,28,2688,25,FALSE
V10008885,C10008885,Truck,Low,5119,6,582,25,FALSE
V10008926,C10008926,Truck,Low,2961,34,3774,25,FALSE
V10009680,C10009680,Truck,Low,2189,9,1026,25,FALSE
V10010142,C10010142,Truck,Low,1279,24,1560,25,FALSE
V10010244,C10010244,Truck,Low,2965,5,565,25,FALSE
V10010383,C10010383,Truck,Low,2762,22,2420,25,FALSE
V10010414,C10010414,Truck,Low,3392,5,400,25,FALSE
V10010569,C10010569,Truck,Low,1556,19,2014,25,FALSE
V10010772,C10010772,Truck,Low,999,31,2325,25,FALSE
V10010881,C10010881,Truck,Low,3149,17,1564,25,FALSE
V10011066,C10011066,Truck,Low,2116,27,2079,25,FALSE
V10011067,C10011067,Truck,Low,3164,10,830,25,FALSE
V10011087,C10011087,Truck,Low,2086,26,3120,25,FALSE
V10011304,C10011304,Truck,Low,4036,16,1008,25,FALSE
V10011312,C10011312,Truck,Low,1349,34,3060,25,FALSE
V10011388,C10011388,Truck,Low,4568,25,1850,25,FALSE
V10011958,C10011958,Truck,Low,3283,21,1491,25,FALSE
V10011968,C10011968,Truck,Low,5557,15,1335,25,FALSE
V10011993,C10011993,Truck,Low,3370,8,520,25,FALSE
V10012055,C10012055,Truck,Low,3781,8,496,25,FALSE
V10012109,C10012109,Truck,Low,4532,24,1776,25,FALSE
V10012306,C10012306,Truck,Low,1275,20,1540,25,FALSE
V10012548,C10012548,Truck,Low,5143,15,1365,25,FALSE
V10012616,C10012616,Truck,Low,1793,22,1892,25,FALSE
V10012711,C10012711,Truck,Low,932,37,3885,25,FALSE
V10012751,C10012751,Truck,Low,5905,7,658,25,FALSE
V10012828,C10012828,Truck,Low,1909,25,1700,25,FALSE
V10012887,C10012887,Truck,Low,1272,30,3270,25,FALSE
V10012897,C10012897,Truck,Low,4721,15,1380,25,FALSE
V10013165,C10013165,Truck,Low,1913,27,2106,25,FALSE
V10013194,C10013194,Truck,Low,1269,7,644,25,FALSE
V10013215,C10013215,Truck,Low,1491,20,1540,25,FALSE
V10013294,C10013294,Truck,Low,3576,36,3636,25,FALSE
V10013414,C10013414,Truck,Low,1270,11,858,25,FALSE
V10013488,C10013488,Truck,Low,5370,35,2345,25,FALSE
V10013502,C10013502,Truck,Low,1479,24,2184,25,FALSE
V10014054,C10014054,Truck,Low,4678,17,1989,25,FALSE
V10014197,C10014197,Truck,Low,1948,17,1530,25,FALSE
V10014212,C10014212,Truck,Low,3069,39,4212,25,FALSE
V10014293,C10014293,Truck,Low,754,12,1188,25,FALSE
V10014324,C10014324,Truck,Low,2075,19,2223,25,FALSE
V10014470,C10014470,Truck,Low,3148,23,1449,25,FALSE
V10014615,C10014615,Truck,Low,5711,23,2139,25,FALSE
V10014636,C10014636,Truck,Low,5166,29,2465,25,FALSE
V10014655,C10014655,Truck,Low,5741,11,1001,25,FALSE
V10014728,C10014728,Truck,Low,3097,26,2600,25,FALSE
V10014753,C10014753,Truck,Low,5307,20,1540,25,FALSE
V10014930,C10014930,Truck,Low,4678,5,595,25,FALSE
V10015075,C10015075,Truck,Low,3776,34,2312,25,FALSE
V10015384,C10015384,Truck,Low,4776,9,693,25,FALSE
V10015448,C10015448,Truck,Low,2799,6,618,25,FALSE
V10015866,C10015866,Truck,Low,3491,29,2030,25,FALSE
V10016095,C10016095,Truck,Low,4309,14,1582,25,FALSE
V10016128,C10016128,Truck,Low,5136,11,880,25,FALSE
V10016129,C10016129,Truck,Low,2759,35,4060,25,FALSE
V10016873,C10016873,Truck,Low,4766,31,2697,25,FALSE
V10017075,C10017075,Truck,Low,2216,35,2380,25,FALSE
V10017119,C10017119,Truck,Low,2666,14,1330,25,FALSE
V10017289,C10017289,Truck,Low,1322,27,3105,25,FALSE
V10018758,C10018758,Truck,Low,5628,6,360,25,FALSE
V10018851,C10018851,Truck,Low,3428,30,2370,25,FALSE
V10019038,C10019038,Truck,Low,1639,10,1170,25,FALSE
V10019231,C10019231,Truck,Low,1399,18,1854,25,FALSE
V10019358,C10019358,Truck,Low,637,12,1404,25,FALSE
V10019383,C10019383,Truck,Low,4069,19,2261,25,FALSE
V10019647,C10019647,Truck,Low,3515,38,2622,25,FALSE
V10019764,C10019764,Truck,Low,4723,6,624,25,FALSE
V10019955,C10019955,Truck,Low,3640,28,3080,25,FALSE
V10000018,C10000018,Truck,Low,2270,36,3384,8,FALSE
V10000219,C10000219,Truck,Low,3466,38,3648,8,FALSE
V10000311,C10000311,Truck,Low,1947,11,1188,8,FALSE
V10000330,C10000330,Truck,Low,1715,37,4366,8,FALSE
V10000373,C10000373,Truck,Low,2168,40,2760,8,FALSE
V10000762,C10000762,Truck,Low,1070,34,2754,8,FALSE
V10001041,C10001041,Truck,Low,2580,26,2600,8,FALSE
V10001057,C10001057,Truck,Low,3370,10,960,8,FALSE
V10001195,C10001195,Truck,Low,854,33,2937,8,FALSE
V10001298,C10001298,Truck,Low,2769,9,792,8,FALSE
V10001368,C10001368,Truck,Low,3501,10,950,8,FALSE
V10001808,C10001808,Truck,Low,3419,31,1922,8,FALSE
V10002033,C10002033,Truck,Low,2932,37,2886,8,FALSE
V10002048,C10002048,Truck,Low,3101,28,2912,8,FALSE
V10002368,C10002368,Truck,Low,2822,32,2400,8,FALSE
V10002411,C10002411,Truck,Low,5955,18,2016,8,FALSE
V10002453,C10002453,Truck,Low,5112,13,1326,8,FALSE
V10002560,C10002560,Truck,Low,1617,17,1785,8,FALSE
V10002583,C10002583,Truck,Low,1066,10,750,8,FALSE
V10002586,C10002586,Truck,Low,2409,15,1095,8,FALSE
V10002612,C10002612,Truck,Low,1692,37,4070,8,FALSE
V10002972,C10002972,Truck,Low,3468,27,2457,8,FALSE
V10003122,C10003122,Truck,Low,3148,27,1890,8,FALSE
V10003225,C10003225,Truck,Low,978,37,3219,8,FALSE
V10003370,C10003370,Truck,Low,4797,32,2176,8,FALSE
V10003551,C10003551,Truck,Low,3034,12,960,8,FALSE
V10003576,C10003576,Truck,Low,1831,14,1106,8,FALSE
V10004127,C10004127,Truck,Low,3086,7,791,8,FALSE
V10004402,C10004402,Truck,Low,2182,31,3224,8,FALSE
V10004702,C10004702,Truck,Low,1755,18,1980,8,FALSE
V10004746,C10004746,Truck,Low,4378,19,1501,8,FALSE
V10005841,C10005841,Truck,Low,2811,36,4212,8,FALSE
V10005870,C10005870,Truck,Low,3631,16,1312,8,FALSE
V10005914,C10005914,Truck,Low,1084,30,2070,8,FALSE
V10006060,C10006060,Truck,Low,3991,23,2346,8,FALSE
V10006446,C10006446,Truck,Low,1427,23,1472,8,FALSE
V10006652,C10006652,Truck,Low,5467,12,1176,8,FALSE
V10006691,C10006691,Truck,Low,3609,32,3360,8,FALSE
V10006756,C10006756,Truck,Low,3655,16,1024,8,FALSE
V10006820,C10006820,Truck,Low,2224,40,4240,8,FALSE
V10007018,C10007018,Truck,Low,2021,6,636,8,FALSE
V10007300,C10007300,Truck,Low,2477,8,736,8,FALSE
V10007407,C10007407,Truck,Low,1658,38,4408,8,FALSE
V10007494,C10007494,Truck,Low,2370,33,3927,8,FALSE
V10008382,C10008382,Truck,Low,5390,19,1140,8,FALSE
V10008442,C10008442,Truck,Low,2380,10,1060,8,FALSE
V10008466,C10008466,Truck,Low,2661,37,2257,8,FALSE
V10008525,C10008525,Truck,Low,3581,16,1776,8,FALSE
V10008551,C10008551,Truck,Low,1882,26,1586,8,FALSE
V10008563,C10008563,Truck,Low,2138,23,1817,8,FALSE
V10008864,C10008864,Truck,Low,5122,11,660,8,FALSE
V10008901,C10008901,Truck,Low,4135,14,854,8,FALSE
V10009321,C10009321,Truck,Low,749,8,616,8,FALSE
V10009525,C10009525,Truck,Low,1459,10,750,8,FALSE
V10009603,C10009603,Truck,Low,4236,37,2405,8,FALSE
V10009678,C10009678,Truck,Low,4141,25,1600,8,FALSE
V10009716,C10009716,Truck,Low,5736,26,1898,8,FALSE
V10010170,C10010170,Truck,Low,2406,10,910,8,FALSE
V10010446,C10010446,Truck,Low,5470,24,2304,8,FALSE
V10010479,C10010479,Truck,Low,3517,30,2910,8,FALSE
V10010668,C10010668,Truck,Low,4350,7,588,8,FALSE
V10010713,C10010713,Truck,Low,3184,11,1166,8,FALSE
V10010777,C10010777,Truck,Low,3808,34,4012,8,FALSE
V10010839,C10010839,Truck,Low,2570,14,1568,8,FALSE
V10011014,C10011014,Truck,Low,5754,19,1748,8,FALSE
V10011030,C10011030,Truck,Low,5106,36,2880,8,FALSE
V10011289,C10011289,Truck,Low,507,18,1746,8,FALSE
V10011403,C10011403,Truck,Low,4994,20,2000,8,FALSE
V10011555,C10011555,Truck,Low,3150,7,749,8,FALSE
V10011569,C10011569,Truck,Low,5352,7,630,8,FALSE
V10011636,C10011636,Truck,Low,609,13,1001,8,FALSE
V10011759,C10011759,Truck,Low,1643,6,528,8,FALSE
V10011916,C10011916,Truck,Low,3013,30,3030,8,FALSE
V10012457,C10012457,Truck,Low,5440,6,540,8,FALSE
V10012653,C10012653,Truck,Low,3373,25,2100,8,FALSE
V10012704,C10012704,Truck,Low,5907,13,793,8,FALSE
V10012801,C10012801,Truck,Low,3451,6,450,8,FALSE
V10012807,C10012807,Truck,Low,5820,13,1547,8,FALSE
V10013197,C10013197,Truck,Low,4389,32,2144,8,FALSE
V10013535,C10013535,Truck,Low,5228,10,1180,8,FALSE
V10013716,C10013716,Truck,Low,3767,14,896,8,FALSE
V10013788,C10013788,Truck,Low,3668,36,3096,8,FALSE
V10013938,C10013938,Truck,Low,2988,30,2610,8,FALSE
V10013956,C10013956,Truck,Low,2406,10,1030,8,FALSE
V10014119,C10014119,Truck,Low,1208,40,4160,8,FALSE
V10014372,C10014372,Truck,Low,4176,19,1197,8,FALSE
V10014581,C10014581,Truck,Low,1531,20,1200,8,FALSE
V10014972,C10014972,Truck,Low,1853,37,2812,8,FALSE
V10015094,C10015094,Truck,Low,2941,23,2024,8,FALSE
V10015134,C10015134,Truck,Low,5053,29,1856,8,FALSE
V10015281,C10015281,Truck,Low,3303,25,2575,8,FALSE
V10015629,C10015629,Truck,Low,704,33,3366,8,FALSE
V10015690,C10015690,Truck,Low,5175,16,1488,8,FALSE
V10015920,C10015920,Truck,Low,3714,19,1406,8,FALSE
V10016219,C10016219,Truck,Low,1609,17,1564,8,FALSE
V10016268,C10016268,Truck,Low,1122,29,2668,8,FALSE
V10016509,C10016509,Truck,Low,5568,7,476,8,FALSE
V10016568,C10016568,Truck,Low,3312,8,664,8,FALSE
V10017065,C10017065,Truck,Low,1409,38,3990,8,FALSE
V10017111,C10017111,Truck,Low,2658,14,1680,8,FALSE
V10017142,C10017142,Truck,Low,1322,29,2813,8,FALSE
V10017475,C10017475,Truck,Low,4802,12,972,8,FALSE
V10017578,C10017578,Truck,Low,3808,27,1917,8,FALSE
V10017787,C10017787,Truck,Low,3219,26,1716,8,FALSE
V10018468,C10018468,Truck,Low,5810,6,522,8,FALSE
V10018910,C10018910,Truck,Low,3287,14,1036,8,FALSE
V10019014,C10019014,Truck,Low,5492,12,732,8,FALSE
V10019082,C10019082,Truck,Low,2194,39,3510,8,FALSE
V10019222,C10019222,Truck,Low,1528,7,595,8,FALSE
V10019602,C10019602,Truck,Low,4959,29,2958,8,FALSE
V10019726,C10019726,Truck,Low,1140,21,2226,8,FALSE
V10019886,C10019886,Truck,Low,4875,13,975,8,FALSE
V10019991,C10019991,Truck,Low,2438,14,1218,8,FALSE
V10000332,C10000332,Truck,Low,4281,21,1533,16,FALSE
V10000452,C10000452,Truck,Low,1469,35,2520,16,FALSE
V10000514,C10000514,Truck,Low,3843,27,2781,16,FALSE
V10000669,C10000669,Truck,Low,3378,16,1728,16,FALSE
V10000878,C10000878,Truck,Low,4764,32,2048,16,FALSE
V10001035,C10001035,Truck,Low,3738,32,3520,16,FALSE
V10001559,C10001559,Truck,Low,5889,5,310,16,FALSE
V10001735,C10001735,Truck,Low,3465,36,2376,16,FALSE
V10001921,C10001921,Truck,Low,1285,24,2520,16,FALSE
V10001973,C10001973,Truck,Low,2426,12,1380,16,FALSE
V10002458,C10002458,Truck,Low,2676,27,2754,16,FALSE
V10002481,C10002481,Truck,Low,4445,29,2088,16,FALSE
V10002656,C10002656,Truck,Low,1216,29,2987,16,FALSE
V10002792,C10002792,Truck,Low,819,38,2356,16,FALSE
V10003254,C10003254,Truck,Low,5740,15,1470,16,FALSE
V10003431,C10003431,Truck,Low,2522,32,3328,16,FALSE
V10003602,C10003602,Truck,Low,4184,13,1456,16,FALSE
V10003821,C10003821,Truck,Low,5559,12,1104,16,FALSE
V10003898,C10003898,Truck,Low,510,34,4012,16,FALSE
V10004105,C10004105,Truck,Low,3254,22,1606,16,FALSE
V10004135,C10004135,Truck,Low,1692,24,1584,16,FALSE
V10004200,C10004200,Truck,Low,3219,31,3100,16,FALSE
V10004234,C10004234,Truck,Low,1855,18,1476,16,FALSE
V10004250,C10004250,Truck,Low,5933,20,1240,16,FALSE
V10004342,C10004342,Truck,Low,4655,25,1600,16,FALSE
V10004456,C10004456,Truck,Low,5408,10,650,16,FALSE
V10004802,C10004802,Truck,Low,5316,13,1339,16,FALSE
V10004925,C10004925,Truck,Low,4231,31,1953,16,FALSE
V10004997,C10004997,Truck,Low,5993,6,594,16,FALSE
V10005387,C10005387,Truck,Low,2892,32,3392,16,FALSE
V10005586,C10005586,Truck,Low,2010,27,2673,16,FALSE
V10005638,C10005638,Truck,Low,4655,8,480,16,FALSE
V10006431,C10006431,Truck,Low,789,14,1134,16,FALSE
V10006545,C10006545,Truck,Low,2207,31,1860,16,FALSE
V10006583,C10006583,Truck,Low,2559,15,1020,16,FALSE
V10006664,C10006664,Truck,Low,5616,21,1281,16,FALSE
V10007002,C10007002,Truck,Low,2173,29,2842,16,FALSE
V10007507,C10007507,Truck,Low,2310,39,3861,16,FALSE
V10007527,C10007527,Truck,Low,4215,27,2835,16,FALSE
V10007582,C10007582,Truck,Low,4063,29,3393,16,FALSE
V10007706,C10007706,Truck,Low,3086,38,2546,16,FALSE
V10007846,C10007846,Truck,Low,1264,30,2580,16,FALSE
V10007858,C10007858,Truck,Low,3395,38,3876,16,FALSE
V10007864,C10007864,Truck,Low,3359,34,3604,16,FALSE
V10007950,C10007950,Truck,Low,2043,5,340,16,FALSE
V10008183,C10008183,Truck,Low,5045,10,1150,16,FALSE
V10008226,C10008226,Truck,Low,4630,16,1056,16,FALSE
V10008300,C10008300,Truck,Low,2568,24,1464,16,FALSE
V10008303,C10008303,Truck,Low,2774,21,2310,16,FALSE
V10008436,C10008436,Truck,Low,3074,27,1809,16,FALSE
V10008703,C10008703,Truck,Low,5621,12,1020,16,FALSE
V10008801,C10008801,Truck,Low,3418,40,4240,16,FALSE
V10008905,C10008905,Truck,Low,4567,38,2318,16,FALSE
V10008999,C10008999,Truck,Low,934,6,570,16,FALSE
V10009013,C10009013,Truck,Low,5150,16,1840,16,FALSE
V10009120,C10009120,Truck,Low,2532,38,2280,16,FALSE
V10009212,C10009212,Truck,Low,1347,33,2970,16,FALSE
V10009270,C10009270,Truck,Low,1372,36,3276,16,FALSE
V10009402,C10009402,Truck,Low,2478,14,1176,16,FALSE
V10009509,C10009509,Truck,Low,2053,11,869,16,FALSE
V10009516,C10009516,Truck,Low,4788,14,1470,16,FALSE
V10009545,C10009545,Truck,Low,3165,11,770,16,FALSE
V10010226,C10010226,Truck,Low,1263,18,1224,16,FALSE
V10010312,C10010312,Truck,Low,3367,13,832,16,FALSE
V10010408,C10010408,Truck,Low,5670,16,1648,16,FALSE
V10010895,C10010895,Truck,Low,2859,38,3382,16,FALSE
V10010896,C10010896,Truck,Low,5584,8,760,16,FALSE
V10010997,C10010997,Truck,Low,2885,6,540,16,FALSE
V10011231,C10011231,Truck,Low,4171,38,2356,16,FALSE
V10011406,C10011406,Truck,Low,4999,19,2242,16,FALSE
V10011416,C10011416,Truck,Low,2452,27,1863,16,FALSE
V10011519,C10011519,Truck,Low,3753,29,2436,16,FALSE
V10011585,C10011585,Truck,Low,1093,36,2988,16,FALSE
V10011942,C10011942,Truck,Low,1854,17,1649,16,FALSE
V10012085,C10012085,Truck,Low,2198,7,434,16,FALSE
V10012303,C10012303,Truck,Low,2774,30,3240,16,FALSE
V10013015,C10013015,Truck,Low,4297,36,2412,16,FALSE
V10013227,C10013227,Truck,Low,2231,29,2001,16,FALSE
V10013318,C10013318,Truck,Low,5159,24,2568,16,FALSE
V10014562,C10014562,Truck,Low,3890,12,1368,16,FALSE
V10014806,C10014806,Truck,Low,3271,14,1190,16,FALSE
V10014910,C10014910,Truck,Low,1345,27,2889,16,FALSE
V10014917,C10014917,Truck,Low,3218,35,2660,16,FALSE
V10014936,C10014936,Truck,Low,1529,7,588,16,FALSE
V10015062,C10015062,Truck,Low,2791,37,3108,16,FALSE
V10015099,C10015099,Truck,Low,5883,15,1485,16,FALSE
V10015257,C10015257,Truck,Low,2759,33,3630,16,FALSE
V10015415,C10015415,Truck,Low,5114,33,2706,16,FALSE
V10015570,C10015570,Truck,Low,2959,27,2187,16,FALSE
V10015890,C10015890,Truck,Low,2244,40,3280,16,FALSE
V10016259,C10016259,Truck,Low,5154,23,2760,16,FALSE
V10016265,C10016265,Truck,Low,2624,16,1920,16,FALSE
V10016375,C10016375,Truck,Low,3320,34,3060,16,FALSE
V10016465,C10016465,Truck,Low,5000,15,930,16,FALSE
V10017040,C10017040,Truck,Low,5231,20,1680,16,FALSE
V10017200,C10017200,Truck,Low,1799,36,3420,16,FALSE
V10017356,C10017356,Truck,Low,2261,31,3100,16,FALSE
V10017379,C10017379,Truck,Low,5918,9,1062,16,FALSE
V10017714,C10017714,Truck,Low,614,40,3240,16,FALSE
V10017779,C10017779,Truck,Low,3221,34,3638,16,FALSE
V10017901,C10017901,Truck,Low,5871,20,1500,16,FALSE
V10017945,C10017945,Truck,Low,4185,16,1440,16,FALSE
V10018284,C10018284,Truck,Low,1627,19,2014,16,FALSE
V10018359,C10018359,Truck,Low,2993,13,1495,16,FALSE
V10018394,C10018394,Truck,Low,2084,19,1767,16,FALSE
V10018528,C10018528,Truck,Low,5545,15,975,16,FALSE
V10018724,C10018724,Truck,Low,2029,21,1407,16,FALSE
V10019228,C10019228,Truck,Low,631,12,1356,16,FALSE
V10019248,C10019248,Truck,Low,3054,33,3168,16,FALSE
V10019491,C10019491,Truck,Low,5512,16,1488,16,FALSE
V10019661,C10019661,Truck,Low,4768,27,2889,16,FALSE
V10000321,C10000321,Truck,Low,5666,20,2280,14,FALSE
V10000692,C10000692,Truck,Low,5664,7,763,14,FALSE
V10000975,C10000975,Truck,Low,3127,21,2310,14,FALSE
V10001045,C10001045,Truck,Low,1266,34,4080,14,FALSE
V10001176,C10001176,Truck,Low,5036,34,2856,14,FALSE
V10001544,C10001544,Truck,Low,1595,14,896,14,FALSE
V10001863,C10001863,Truck,Low,1114,14,1246,14,FALSE
V10001871,C10001871,Truck,Low,1012,14,938,14,FALSE
V10002209,C10002209,Truck,Low,5822,6,492,14,FALSE
V10002385,C10002385,Truck,Low,2544,12,756,14,FALSE
V10002447,C10002447,Truck,Low,2798,26,2002,14,FALSE
V10002623,C10002623,Truck,Low,3606,10,1170,14,FALSE
V10002627,C10002627,Truck,Low,2357,30,2940,14,FALSE
V10003034,C10003034,Truck,Low,2205,27,3051,14,FALSE
V10003065,C10003065,Truck,Low,2339,38,3572,14,FALSE
V10003124,C10003124,Truck,Low,1603,16,1584,14,FALSE
V10003210,C10003210,Truck,Low,2347,23,1495,14,FALSE
V10003353,C10003353,Truck,Low,1271,8,696,14,FALSE
V10003855,C10003855,Truck,Low,2847,12,1200,14,FALSE
V10003920,C10003920,Truck,Low,3474,15,1185,14,FALSE
V10003956,C10003956,Truck,Low,2857,6,528,14,FALSE
V10004274,C10004274,Truck,Low,3776,40,3520,14,FALSE
V10004291,C10004291,Truck,Low,2858,6,486,14,FALSE
V10004794,C10004794,Truck,Low,5484,22,2156,14,FALSE
V10005067,C10005067,Truck,Low,1876,29,1827,14,FALSE
V10005504,C10005504,Truck,Low,1954,20,1680,14,FALSE
V10005710,C10005710,Truck,Low,1651,39,4329,14,FALSE
V10005808,C10005808,Truck,Low,3079,23,2760,14,FALSE
V10005846,C10005846,Truck,Low,4104,25,2100,14,FALSE
V10005928,C10005928,Truck,Low,1083,10,910,14,FALSE
V10005993,C10005993,Truck,Low,2845,14,1092,14,FALSE
V10006074,C10006074,Truck,Low,3234,40,2440,14,FALSE
V10006249,C10006249,Truck,Low,780,37,2294,14,FALSE
V10006320,C10006320,Truck,Low,1688,6,624,14,FALSE
V10006500,C10006500,Truck,Low,2905,11,1177,14,FALSE
V10006677,C10006677,Truck,Low,4672,11,1111,14,FALSE
V10006725,C10006725,Truck,Low,1543,38,2964,14,FALSE
V10006909,C10006909,Truck,Low,4269,39,2808,14,FALSE
V10007464,C10007464,Truck,Low,3915,26,2886,14,FALSE
V10007542,C10007542,Truck,Low,3928,23,1771,14,FALSE
V10007804,C10007804,Truck,Low,2349,28,2296,14,FALSE
V10007971,C10007971,Truck,Low,5750,20,2020,14,FALSE
V10008167,C10008167,Truck,Low,2908,28,2156,14,FALSE
V10008434,C10008434,Truck,Low,4637,9,576,14,FALSE
V10008545,C10008545,Truck,Low,4539,21,2079,14,FALSE
V10008604,C10008604,Truck,Low,3212,33,2871,14,FALSE
V10008798,C10008798,Truck,Low,5387,26,1846,14,FALSE
V10008865,C10008865,Truck,Low,514,5,420,14,FALSE
V10009092,C10009092,Truck,Low,3462,17,1394,14,FALSE
V10009097,C10009097,Truck,Low,775,14,1386,14,FALSE
V10009137,C10009137,Truck,Low,3650,9,981,14,FALSE
V10009345,C10009345,Truck,Low,2969,21,1365,14,FALSE
V10009455,C10009455,Truck,Low,2128,17,1972,14,FALSE
V10009529,C10009529,Truck,Low,1590,20,2180,14,FALSE
V10009568,C10009568,Truck,Low,2819,26,2184,14,FALSE
V10009653,C10009653,Truck,Low,4191,8,752,14,FALSE
V10009731,C10009731,Truck,Low,5438,25,1775,14,FALSE
V10009913,C10009913,Truck,Low,4151,13,1521,14,FALSE
V10010139,C10010139,Truck,Low,1582,40,3360,14,FALSE
V10010751,C10010751,Truck,Low,2254,8,488,14,FALSE
V10011008,C10011008,Truck,Low,6000,15,1755,14,FALSE
V10011013,C10011013,Truck,Low,4320,25,2475,14,FALSE
V10011075,C10011075,Truck,Low,4554,36,2160,14,FALSE
V10011149,C10011149,Truck,Low,739,38,3306,14,FALSE
V10011188,C10011188,Truck,Low,1892,34,3230,14,FALSE
V10011200,C10011200,Truck,Low,3223,9,873,14,FALSE
V10011338,C10011338,Truck,Low,2584,5,380,14,FALSE
V10011439,C10011439,Truck,Low,1194,31,2635,14,FALSE
V10011693,C10011693,Truck,Low,2469,13,936,14,FALSE
V10011772,C10011772,Truck,Low,2862,20,2040,14,FALSE
V10011852,C10011852,Truck,Low,653,13,1521,14,FALSE
V10012200,C10012200,Truck,Low,1951,31,3224,14,FALSE
V10012720,C10012720,Truck,Low,2102,35,2135,14,FALSE
V10012732,C10012732,Truck,Low,3823,29,3190,14,FALSE
V10012942,C10012942,Truck,Low,4546,30,1830,14,FALSE
V10013132,C10013132,Truck,Low,1252,26,1820,14,FALSE
V10013794,C10013794,Truck,Low,3568,33,2376,14,FALSE
V10014043,C10014043,Truck,Low,2830,18,2070,14,FALSE
V10014301,C10014301,Truck,Low,2543,18,1890,14,FALSE
V10014606,C10014606,Truck,Low,1587,40,4120,14,FALSE
V10014787,C10014787,Truck,Low,1463,18,1530,14,FALSE
V10014874,C10014874,Truck,Low,2278,28,1988,14,FALSE
V10014883,C10014883,Truck,Low,4987,14,1540,14,FALSE
V10014962,C10014962,Truck,Low,3261,14,924,14,FALSE
V10015036,C10015036,Truck,Low,1697,29,2900,14,FALSE
V10015050,C10015050,Truck,Low,5823,8,712,14,FALSE
V10015115,C10015115,Truck,Low,3966,25,2175,14,FALSE
V10015699,C10015699,Truck,Low,5871,24,1824,14,FALSE
V10015712,C10015712,Truck,Low,905,18,1800,14,FALSE
V10016226,C10016226,Truck,Low,767,37,2997,14,FALSE
V10016307,C10016307,Truck,Low,5570,21,1470,14,FALSE
V10016439,C10016439,Truck,Low,2096,12,1116,14,FALSE
V10016557,C10016557,Truck,Low,3593,40,3240,14,FALSE
V10016748,C10016748,Truck,Low,4819,31,1922,14,FALSE
V10016817,C10016817,Truck,Low,1137,38,4104,14,FALSE
V10016926,C10016926,Truck,Low,565,21,1722,14,FALSE
V10016988,C10016988,Truck,Low,4215,23,2047,14,FALSE
V10017424,C10017424,Truck,Low,1794,21,1701,14,FALSE
V10017453,C10017453,Truck,Low,1680,26,2886,14,FALSE
